"flightdate","totalflights","ontimeperformancedeparture","ontimeperformancearrival"
"2009-01-01","16237","63.4168873560386771","69.0028946233910205"
"2009-01-02","18632","55.4690854443967368","53.7140403606698154"
"2009-01-03","16566","48.3761922008933961","49.2152601714354702"
"2009-01-04","17709","44.1639844147043876","45.0448924275791970"
"2009-01-05","18334","47.6928111705028908","46.8310243263881313"
"2009-01-06","17450","54.0000000000000000","47.0659025787965616"
"2009-01-07","17686","58.3116589392740020","50.5936899242338573"
"2009-01-08","18109","70.8984482853829587","67.4857805511071843"
"2009-01-09","18195","68.2495190986534762","62.5006870019236054"
"2009-01-10","14312","65.7420346562325321","59.2929010620458357"
"2009-01-11","16725","60.2391629297458894","55.6591928251121076"
"2009-01-12","17999","67.2759597755430857","60.8533807433746319"
"2009-01-13","17272","75.0173691523853636","67.0391384900416860"
"2009-01-14","17563","67.2550247679781359","61.4018106246085521"
"2009-01-15","18006","57.3919804509607908","54.5429301343996446"
"2009-01-16","18088","53.0904467049977886","53.7538699690402477"
"2009-01-17","14226","62.9340643891466329","63.0605932799100239"
"2009-01-18","16370","65.7116676847892486","59.4868662186927306"
"2009-01-19","17976","64.6194926568758344","60.8477970627503338"
"2009-01-20","17328","73.7880886426592798","69.0674053554939982"
"2009-01-21","17586","77.1067894916410781","75.4008870692596383"
"2009-01-22","17994","74.4581527175725242","74.4081360453484495"
"2009-01-23","18072","71.9234174413457282","68.6199645861000443"
"2009-01-24","14175","76.2751322751322751","73.5873015873015873"
"2009-01-25","16709","67.0417140463223413","62.1760727751511162"
"2009-01-26","17967","69.3604942394389714","60.6389491846162409"
"2009-01-27","17255","70.6635757751376413","61.1359026369168357"
"2009-01-28","17547","57.4628141562660284","51.5244771185957714"
"2009-01-29","17996","64.4865525672371638","58.8686374749944432"
"2009-01-30","18074","68.2250746929290694","62.7641916565231825"
"2009-01-31","14181","77.8859036739299062","76.7999435864889641"
"2009-02-01","16671","79.7792573930777998","78.9514726171195489"
"2009-02-02","17995","76.7490969713809391","72.3145318143928869"
"2009-02-03","17245","76.0684256306175703","68.4198318353145839"
"2009-02-04","17539","76.9086036832202520","71.9083186042533782"
"2009-02-05","17987","73.5420025574025685","69.8059709790404181"
"2009-02-06","18075","72.3762102351313970","69.6874135546334716"
"2009-02-07","14169","80.2879525725174677","80.5208553885242431"
"2009-02-08","16707","72.3349494223977973","69.1087568085233734"
"2009-02-09","17972","77.1811707099933229","72.4738482083240596"
"2009-02-10","17236","80.7321884427941518","74.3908099326990021"
"2009-02-11","17647","67.1275570918569729","60.5258684195613985"
"2009-02-12","18381","61.5309286763505794","60.2741961808389097"
"2009-02-13","18465","54.9742756566477119","51.2645545626861630"
"2009-02-14","15017","60.9176266897516148","57.5214756609176267"
"2009-02-15","16892","69.2339569026758229","66.6232536111768885"
"2009-02-16","18371","63.5730226988187905","59.5394915900059877"
"2009-02-17","18101","65.3168333241257389","58.2012043533506436"
"2009-02-18","18321","64.2323017302548988","56.4106762731291960"
"2009-02-19","18419","65.2424127259894674","63.4725012215646886"
"2009-02-20","18477","64.7670076311089463","63.4247983980083347"
"2009-02-21","15096","66.5805511393746688","62.5463698993110758"
"2009-02-22","17262","61.9626926196269262","57.6874058625883443"
"2009-02-23","18407","69.1802031835714674","66.9690878470147227"
"2009-02-24","17888","79.4275491949910555","78.0076028622540250"
"2009-02-25","18114","78.1218946671083140","75.7314784144860329"
"2009-02-26","18417","65.6350111310202530","62.0024976923494597"
