"year","month","origin","sum"
"2016","1","OAK","30609"
"2016","1","OGG","8576"
"2016","1","OKC","1490"
"2016","1","OMA","9026"
"2016","1","OME","-310"
"2016","1","ONT","14015"
"2016","1","ORD","219603"
"2016","1","ORF","6988"
"2016","1","ORH","911"
"2016","1","OTH","372"
"2016","1","OTZ","-369"
"2016","1","PAH","896"
"2016","1","PBG","62"
"2016","1","PBI","33354"
"2016","1","PDX","19388"
"2016","1","PHF","244"
"2016","1","PHL","36065"
"2016","1","PHX","74419"
"2016","1","PIA","2495"
"2016","1","PIB","411"
"2016","1","PIH","37"
"2016","1","PIT","6767"
"2016","1","PLN","991"
"2016","1","PNS","2713"
"2016","1","PPG","-56"
"2016","1","PSC","3123"
"2016","1","PSE","349"
"2016","1","PSG","-867"
"2016","1","PSP","12455"
"2016","1","PVD","6654"
"2016","1","PWM","1980"
"2016","1","RAP","1897"
"2016","1","RDD","680"
"2016","1","RDM","1249"
"2016","1","RDU","15514"
"2016","1","RHI","344"
"2016","1","RIC","7400"
"2016","1","RKS","514"
"2016","1","RNO","8510"
"2016","1","ROA","828"
"2016","1","ROC","1723"
"2016","1","ROW","51"
"2016","1","RST","985"
"2016","1","RSW","31944"
"2016","1","SAF","548"
"2016","1","SAN","46014"
"2016","1","SAT","5640"
"2016","1","SAV","2263"
"2016","1","SBA","5015"
"2016","1","SBN","3810"
"2016","1","SBP","1222"
"2016","1","SCC","-968"
"2016","1","SCE","155"
"2016","1","SDF","7279"
"2016","1","SEA","57156"
"2016","1","SFO","176539"
"2016","1","SGF","1661"
"2016","1","SGU","120"
"2016","1","SHV","1916"
"2016","1","SIT","6"
"2016","1","SJC","19980"
"2016","1","SJU","31336"
"2016","1","SLC","47119"
"2016","1","SMF","25687"
"2016","1","SMX","867"
"2016","1","SNA","15672"
"2016","1","SPI","760"
"2016","1","SRQ","3310"
"2016","1","STL","28379"
"2016","1","STT","6889"
"2016","1","STX","1026"
"2016","1","SUN","1182"
"2016","1","SWF","1321"
"2016","1","SYR","3732"
"2016","1","TLH","2577"
"2016","1","TPA","39871"
"2016","1","TRI","916"
"2016","1","TTN","606"
"2016","1","TUL","2085"
"2016","1","TUS","5863"
"2016","1","TVC","828"
"2016","1","TWF","957"
"2016","1","TXK","84"
"2016","1","TYR","-653"
"2016","1","TYS","2516"
"2016","1","UST","-26"
"2016","1","VLD","1567"
"2016","1","VPS","999"
"2016","1","WRG","-529"
"2016","1","XNA","1676"
"2016","1","YAK","-1170"
"2016","1","YUM","708"
"2016","2","ABE","2503"
"2016","2","ABQ","3456"
"2016","2","ABR","198"
"2016","2","ABY","1039"
"2016","2","ACT","-87"
"2016","2","ACV","2025"
"2016","2","ACY","4714"
"2016","2","ADK","-95"
"2016","2","ADQ","-388"
"2016","2","AEX","2737"
"2016","2","AGS","2006"
"2016","2","ALB","2842"
"2016","2","AMA","16"
"2016","2","ANC","-2800"
"2016","2","APN","727"
"2016","2","ASE","7408"
"2016","2","ATL","237170"
"2016","2","ATW","984"
"2016","2","AUS","11128"
"2016","2","AVL","3804"
"2016","2","AVP","1336"
"2016","2","AZO","1199"
"2016","2","BDL","16008"
"2016","2","BET","-521"
"2016","2","BFL","2252"
"2016","2","BGM","1287"
"2016","2","BHM","6004"
"2016","2","BIL","-338"
"2016","2","BIS","1265"
"2016","2","BJI","505"
"2016","2","BLI","-253"
"2016","2","BMI","594"
"2016","2","BNA","19391"
"2016","2","BOI","7852"
"2016","2","BOS","125610"
"2016","2","BPT","516"
"2016","2","BQK","1131"
"2016","2","BQN","1365"
"2016","2","BRD","255"
"2016","2","BRO","-456"
"2016","2","BRW","-261"
"2016","2","BTM","-191"
"2016","2","BTR","4542"
"2016","2","BTV","6650"
"2016","2","BUF","14283"
"2016","2","BUR","3471"
"2016","2","BWI","49212"
"2016","2","BZN","780"
"2016","2","CAE","5157"
"2016","2","CAK","4558"
"2016","2","CDC","219"
"2016","2","CDV","-1168"
"2016","2","CHA","4334"
"2016","2","CHO","3027"
"2016","2","CHS","6351"
"2016","2","CID","1751"
"2016","2","CIU","1003"
"2016","2","CLE","27726"
"2016","2","CLL","8"
"2016","2","CLT","61547"
"2016","2","CMH","10780"
"2016","2","CMX","1098"
"2016","2","COD","229"
"2016","2","COS","5022"
"2016","2","CPR","415"
"2016","2","CRP","-1383"
"2016","2","CRW","2336"
"2016","2","CSG","1093"
"2016","2","CVG","11679"
"2016","2","CWA","65"
"2016","2","DAB","1646"
"2016","2","DAL","17883"
"2016","2","DAY","5004"
"2016","2","DCA","52457"
"2016","2","DEN","83479"
"2016","2","DFW","80436"
"2016","2","DHN","1651"
"2016","2","DLH","1276"
"2016","2","DRO","-574"
"2016","2","DSM","5054"
"2016","2","DTW","92624"
"2016","2","DVL","1090"
"2016","2","EAU","-42"
"2016","2","ECP","1344"
"2016","2","EGE","1787"
"2016","2","EKO","-108"
"2016","2","ELM","731"
"2016","2","ELP","-671"
"2016","2","ERI","195"
"2016","2","ESC","774"
"2016","2","EUG","2859"
"2016","2","EVV","2229"
"2016","2","EWN","920"
"2016","2","EWR","111674"
"2016","2","EYW","657"
"2016","2","FAI","-977"
"2016","2","FAR","1230"
"2016","2","FAT","1500"
"2016","2","FAY","1440"
"2016","2","FCA","172"
"2016","2","FLG","-146"
"2016","2","FLL","93308"
"2016","2","FNT","521"
"2016","2","FSD","1351"
"2016","2","FSM","37"
"2016","2","FWA","3909"
"2016","2","GCC","-243"
"2016","2","GEG","1378"
"2016","2","GFK","984"
"2016","2","GJT","-612"
"2016","2","GNV","1486"
"2016","2","GPT","806"
"2016","2","GRB","1245"
"2016","2","GRK","342"
"2016","2","GRR","4801"
"2016","2","GSO","4885"
"2016","2","GSP","4103"
"2016","2","GTF","240"
"2016","2","GTR","1556"
"2016","2","GUC","957"
"2016","2","GUM","-154"
"2016","2","HDN","-1068"
"2016","2","HIB","1138"
"2016","2","HLN","-189"
"2016","2","HNL","2415"
"2016","2","HOB","-75"
"2016","2","HOU","14776"
"2016","2","HPN","7781"
"2016","2","HRL","-459"
"2016","2","HSV","339"
"2016","2","HYS","438"
"2016","2","IAD","15438"
"2016","2","IAG","93"
"2016","2","IAH","42658"
"2016","2","ICT","2312"
"2016","2","IDA","23"
"2016","2","ILM","1058"
"2016","2","IMT","-11"
"2016","2","IND","9481"
"2016","2","INL","1090"
"2016","2","ISN","506"
"2016","2","ISP","2061"
"2016","2","ITH","1915"
"2016","2","ITO","-999"
"2016","2","JAC","4885"
"2016","2","JAN","1256"
"2016","2","JAX","9999"
"2016","2","JFK","146566"
"2016","2","JLN","-203"
"2016","2","JMS","1432"
"2016","2","JNU","-1936"
"2016","2","KOA","1084"
"2016","2","KTN","-1643"
"2016","2","LAN","3395"
"2016","2","LAR","-28"
"2016","2","LAS","70612"
"2016","2","LAW","124"
"2016","2","LAX","115928"
"2016","2","LBB","-1150"
"2016","2","LBE","1084"
"2016","2","LCH","-89"
"2016","2","LEX","5024"
"2016","2","LFT","724"
"2016","2","LGA","138569"
"2016","2","LGB","11381"
"2016","2","LIH","-196"
"2016","2","LIT","4"
"2016","2","LNK","268"
"2016","2","LRD","-542"
"2016","2","LSE","-42"
"2016","2","LWS","-342"
"2016","2","MAF","-1120"
"2016","2","MBS","2004"
"2016","2","MCI","10016"
"2016","2","MCO","82187"
"2016","2","MDT","1365"
"2016","2","MDW","36797"
"2016","2","MEI","-38"
"2016","2","MEM","4885"
"2016","2","MFE","-901"
"2016","2","MFR","-106"
"2016","2","MGM","2312"
"2016","2","MHT","3484"
"2016","2","MIA","61289"
"2016","2","MKE","11702"
"2016","2","MKG","465"
"2016","2","MLB","530"
"2016","2","MLI","1034"
"2016","2","MLU","888"
"2016","2","MMH","573"
"2016","2","MOB","2192"
"2016","2","MOT","960"
"2016","2","MQT","1233"
"2016","2","MRY","1227"
"2016","2","MSN","3595"
"2016","2","MSO","986"
"2016","2","MSP","81365"
"2016","2","MSY","16368"
"2016","2","MTJ","433"
"2016","2","MYR","3986"
"2016","2","OAJ","1387"
"2016","2","OAK","17696"
"2016","2","OGG","5489"
"2016","2","OKC","2085"
"2016","2","OMA","9721"
"2016","2","OME","-162"
"2016","2","ONT","6119"
"2016","2","ORD","232808"
"2016","2","ORF","6546"
"2016","2","ORH","545"
"2016","2","OTH","457"
"2016","2","OTZ","-310"
"2016","2","PAH","28"
"2016","2","PBG","58"
"2016","2","PBI","43003"
"2016","2","PDX","8157"
"2016","2","PHF","601"
"2016","2","PHL","47694"
"2016","2","PHX","41885"
"2016","2","PIA","3251"
"2016","2","PIB","139"
"2016","2","PIH","148"
"2016","2","PIT","9213"
"2016","2","PLN","986"
"2016","2","PNS","2611"
"2016","2","PPG","22"
"2016","2","PSC","41"
"2016","2","PSE","456"
"2016","2","PSG","-782"
"2016","2","PSP","11439"
"2016","2","PVD","7739"
"2016","2","PWM","5137"
"2016","2","RAP","2096"
"2016","2","RDD","474"
"2016","2","RDM","36"
"2016","2","RDU","20492"
"2016","2","RHI","661"
"2016","2","RIC","12760"
"2016","2","RKS","-53"
"2016","2","RNO","5059"
"2016","2","ROA","1566"
"2016","2","ROC","7578"
"2016","2","ROW","-4"
"2016","2","RST","188"
"2016","2","RSW","30708"
"2016","2","SAF","106"
"2016","2","SAN","21263"
"2016","2","SAT","3961"
"2016","2","SAV","4545"
"2016","2","SBA","2178"
"2016","2","SBN","4483"
"2016","2","SBP","60"
"2016","2","SCC","-518"
"2016","2","SCE","881"
"2016","2","SDF","7651"
"2016","2","SEA","27098"
"2016","2","SFO","97088"
"2016","2","SGF","2557"
"2016","2","SGU","545"
"2016","2","SHV","1786"
"2016","2","SIT","-918"
"2016","2","SJC","11312"
"2016","2","SJU","20648"
"2016","2","SLC","32586"
"2016","2","SMF","11685"
"2016","2","SMX","186"
"2016","2","SNA","13042"
"2016","2","SPI","20"
"2016","2","SRQ","4904"
"2016","2","STL","22716"
"2016","2","STT","3067"
"2016","2","STX","1494"
"2016","2","SUN","124"
"2016","2","SWF","191"
"2016","2","SYR","4520"
"2016","2","TLH","625"
"2016","2","TPA","45684"
"2016","2","TRI","1947"
"2016","2","TTN","1542"
"2016","2","TUL","100"
"2016","2","TUS","4711"
"2016","2","TVC","1996"
"2016","2","TWF","768"
"2016","2","TXK","405"
"2016","2","TYR","-870"
"2016","2","TYS","4615"
"2016","2","VLD","973"
"2016","2","VPS","2607"
"2016","2","WRG","-400"
"2016","2","XNA","2605"
"2016","2","YAK","-1732"
"2016","2","YUM","214"
"2016","3","ABE","896"
"2016","3","ABQ","9615"
"2016","3","ABR","1362"
"2016","3","ABY","350"
"2016","3","ACT","1495"
"2016","3","ACV","1943"
"2016","3","ACY","8602"
"2016","3","ADK","26"
"2016","3","ADQ","-120"
"2016","3","AEX","1067"
"2016","3","AGS","1255"
"2016","3","ALB","4418"
"2016","3","AMA","1001"
"2016","3","ANC","-345"
"2016","3","APN","80"
"2016","3","ASE","12924"
"2016","3","ATL","224013"
"2016","3","ATW","1065"
"2016","3","AUS","32192"
"2016","3","AVL","1353"
"2016","3","AVP","371"
"2016","3","AZO","2336"
"2016","3","BDL","8360"
"2016","3","BET","-356"
"2016","3","BFL","1300"
"2016","3","BGM","89"
"2016","3","BGR","-12"
"2016","3","BHM","8965"
"2016","3","BIL","-860"
"2016","3","BIS","1868"
"2016","3","BJI","189"
"2016","3","BLI","305"
"2016","3","BMI","497"
"2016","3","BNA","26781"
"2016","3","BOI","8181"
"2016","3","BOS","65398"
"2016","3","BPT","1729"
"2016","3","BQK","338"
"2016","3","BQN","447"
"2016","3","BRD","-146"
"2016","3","BRO","273"
"2016","3","BRW","-315"
"2016","3","BTM","116"
"2016","3","BTR","5981"
"2016","3","BTV","2653"
"2016","3","BUF","10670"
"2016","3","BUR","13400"
"2016","3","BWI","57948"
"2016","3","BZN","1770"
"2016","3","CAE","3838"
"2016","3","CAK","1769"
"2016","3","CDC","899"
"2016","3","CDV","-596"
"2016","3","CHA","7274"
"2016","3","CHO","1682"
"2016","3","CHS","5278"
"2016","3","CID","2449"
"2016","3","CIU","1030"
"2016","3","CLE","20323"
"2016","3","CLL","-205"
"2016","3","CLT","41704"
"2016","3","CMH","9444"
"2016","3","CMX","615"
"2016","3","COD","470"
"2016","3","COS","4910"
"2016","3","CPR","1311"
"2016","3","CRP","774"
"2016","3","CRW","1024"
"2016","3","CSG","53"
"2016","3","CVG","11680"
"2016","3","CWA","-47"
"2016","3","DAB","1565"
"2016","3","DAL","55855"
"2016","3","DAY","3462"
"2016","3","DCA","36199"
"2016","3","DEN","180923"
"2016","3","DFW","210858"
"2016","3","DHN","288"
"2016","3","DLH","2480"
"2016","3","DRO","514"
"2016","3","DSM","2442"
"2016","3","DTW","86909"
"2016","3","DVL","23"
"2016","3","EAU","-42"
"2016","3","ECP","423"
"2016","3","EGE","5164"
"2016","3","EKO","340"
"2016","3","ELM","457"
"2016","3","ELP","7046"
"2016","3","ERI","627"
"2016","3","ESC","235"
"2016","3","EUG","7000"
"2016","3","EVV","582"
"2016","3","EWN","105"
"2016","3","EWR","77078"
"2016","3","EYW","1038"
"2016","3","FAI","-201"
"2016","3","FAR","1321"
"2016","3","FAT","7387"
"2016","3","FAY","861"
"2016","3","FCA","10"
"2016","3","FLG","285"
"2016","3","FLL","100201"
"2016","3","FNT","655"
"2016","3","FSD","4900"
"2016","3","FSM","-231"
"2016","3","FWA","2260"
"2016","3","GCC","-402"
"2016","3","GEG","3746"
"2016","3","GFK","784"
"2016","3","GGG","313"
"2016","3","GJT","205"
"2016","3","GNV","955"
"2016","3","GPT","1894"
"2016","3","GRB","1526"
"2016","3","GRK","835"
"2016","3","GRR","4213"
"2016","3","GSO","1885"
"2016","3","GSP","6096"
"2016","3","GTF","1675"
"2016","3","GTR","1"
"2016","3","GUC","673"
"2016","3","GUM","118"
"2016","3","HDN","615"
"2016","3","HIB","-77"
"2016","3","HLN","-348"
"2016","3","HNL","8319"
"2016","3","HOB","237"
"2016","3","HOU","43019"
"2016","3","HPN","2904"
"2016","3","HRL","1423"
"2016","3","HSV","1291"
"2016","3","HYS","462"
"2016","3","IAD","17804"
"2016","3","IAG","200"
"2016","3","IAH","113891"
"2016","3","ICT","3717"
"2016","3","IDA","235"
"2016","3","ILM","1423"
"2016","3","IMT","847"
"2016","3","IND","19196"
"2016","3","INL","647"
"2016","3","ISN","-438"
"2016","3","ISP","3312"
"2016","3","ITH","596"
"2016","3","ITO","-849"
"2016","3","JAC","2994"
"2016","3","JAN","1717"
"2016","3","JAX","4676"
"2016","3","JFK","81395"
"2016","3","JLN","313"
"2016","3","JMS","-192"
"2016","3","JNU","-108"
"2016","3","KOA","4923"
"2016","3","KTN","-530"
"2016","3","LAN","962"
"2016","3","LAR","596"
"2016","3","LAS","118329"
"2016","3","LAW","968"
"2016","3","LAX","193948"
"2016","3","LBB","1426"
"2016","3","LBE","1490"
"2016","3","LCH","167"
"2016","3","LEX","1774"
"2016","3","LFT","3626"
"2016","3","LGA","93731"
"2016","3","LGB","8941"
"2016","3","LIH","591"
"2016","3","LIT","3002"
"2016","3","LNK","598"
