"year","amount_of_events","airportcode"
"2016","2786","EHY"
"2016","2351","HYW"
"2016","2342","M40"
"2016","2234","3TH"
"2016","2201","JXI"
"2016","2171","MLP"
"2016","1932","0CO"
"2016","1889","RRL"
"2016","1865","BKD"
"2016","1772","TCM"
"2016","1749","S47"
"2016","1744","MZZ"
"2016","1716","TMK"
"2016","1710","ONP"
"2016","1701","JNW"
"2016","1606","GRF"
"2016","1590","BOK"
"2016","1586","ARW"
"2016","1574","SMP"
"2016","1560","BAC"
"2016","1543","UIL"
"2016","1521","HQM"
"2016","1478","CPW"
"2016","1460","GTB"
"2016","1442","POV"
"2016","1418","TWM"
"2016","1390","SHN"
"2016","1389","MYP"
"2016","1352","CEC"
"2016","1321","HST"
"2016","1303","AST"
"2016","1294","SXT"
"2016","1293","HAF"
"2016","1260","AWM"
"2016","1255","FTK"
"2016","1229","SRC"
"2016","1229","SKA"
"2016","1226","SLK"
"2016","1224","NFJ"
"2016","1215","HSP"
"2016","1209","ONX"
"2016","1205","RDR"
"2016","1202","OKM"
"2016","1202","INF"
"2016","1192","06D"
"2016","1183","HRT"
"2016","1183","PQI"
"2016","1181","FBG"
"2016","1176","PLU"
"2016","1175","TDO"
"2016","1175","MUI"
"2016","1171","TNB"
"2016","1171","LFI"
"2016","1167","PEX"
"2016","1161","ACV"
"2016","1160","CLS"
"2016","1160","HOP"
"2016","1159","TDR"
"2016","1157","PGV"
"2016","1154","D25"
"2016","1149","LWB"
"2016","1144","2DP"
"2016","1141","1P1"
"2016","1137","MDS"
"2016","1134","M16"
"2016","1126","JFZ"
"2016","1125","BFD"
"2016","1116","ERY"
"2016","1110","CAR"
"2016","1109","BLU"
"2016","1106","WRI"
"2016","1104","3T5"
"2016","1095","6R3"
"2016","1085","FVE"
"2016","1080","EKA"
"2016","1079","CCU"
"2016","1078","D60"
"2016","1077","EVM"
"2016","1071","ELZ"
"2016","1067","OLM"
"2016","1063","EKN"
"2016","1058","K22"
"2016","1054","DUJ"
"2016","1050","XVW"
"2016","1047","DNK"
"2016","1039","PAM"
"2016","1038","MYL"
"2016","1037","LNL"
"2016","1034","FAF"
"2016","1033","ORG"
"2016","1032","JST"
"2016","1029","MPV"
"2016","1028","ANJ"
"2016","1028","ARV"
"2016","1027","HWY"
"2016","1026","PSO"
"2016","1024","Y63"
"2016","1021","EGV"
"2016","1020","GUS"
"2016","1020","JKL"
"2016","1019","MTC"
"2016","1016","EFC"
"2016","1015","DOV"
"2016","1015","FPK"
"2016","1013","SSC"
"2016","1012","VOK"
"2016","1012","GLR"
"2016","1011","RCA"
"2016","1010","BLV"
"2016","1007","ROX"
"2016","1004","GOV"
"2016","1002","CDA"
"2016","1001","ISQ"
"2016","998","MOP"
"2016","997","CPK"
"2016","997","LDM"
"2016","985","MDZ"
"2016","985","CMX"
"2016","983","POB"
"2016","983","RPD"
"2016","982","POE"
"2016","982","GAO"
"2016","979","SOW"
"2016","979","COQ"
"2016","978","LSF"
"2016","974","BGM"
"2016","973","PBH"
"2016","970","PLN"
"2016","970","FIG"
"2016","969","CAD"
"2016","969","OVS"
"2016","967","BML"
"2016","966","ACP"
"2016","959","BCK"
"2016","959","CVX"
"2016","958","OWA"
"2016","956","ACQ"
"2016","954","AXH"
"2016","954","FVX"
"2016","953","AIT"
"2016","953","DAA"
"2016","952","RCX"
"2016","951","MCF"
"2016","950","BEH"
"2016","949","TEX"
"2016","949","CPT"
"2016","949","INL"
"2016","946","JKA"
"2016","946","20U"
"2016","945","ELO"
"2016","944","ARA"
"2016","944","CEF"
"2016","944","NXF"
"2016","943","BCB"
"2016","943","LRF"
"2016","941","RND"
"2016","939","IMT"
"2016","936","ARM"
"2016","935","UBE"
"2016","934","HIE"
"2016","933","GEV"
"2016","932","C35"
"2016","932","LXV"
"2016","931","N03"
"2016","931","BFW"
"2016","930","40J"
"2016","929","HFF"
"2016","929","MWO"
"2016","928","VER"
"2016","927","ORS"
"2016","927","SPF"
"2016","927","ADW"
"2016","927","2C8"
"2016","926","LNP"
"2016","926","DRI"
"2016","926","MXF"
"2016","925","OLE"
"2016","924","TKV"
"2016","924","HIB"
"2016","924","EMV"
"2016","923","MWN"
"2016","922","HTL"
"2016","920","HMZ"
"2016","919","RHI"
"2016","919","ART"
"2016","918","1A6"
"2016","917","AUM"
"2016","916","2I0"
"2016","911","AFO"
"2016","909","MKS"
"2016","909","CRX"
"2016","909","ERI"
"2016","908","DRM"
"2016","908","PNM"
"2016","907","SPB"
"2016","906","HLR"
"2016","902","S32"
"2016","902","W22"
"2016","900","FKS"
"2016","898","11R"
"2016","897","MKJ"
"2016","896","ADC"
"2016","895","SJX"
"2016","894","BKW"
"2016","893","LCH"
"2016","893","DEQ"
"2016","892","RQB"
"2016","891","FZY"
"2016","889","IYA"
"2016","889","DCY"
"2016","888","BAB"
"2016","887","CBG"
"2016","887","48I"
"2016","886","CBM"
"2016","885","BXA"
"2016","883","Y70"
"2016","883","RSV"
"2016","880","EFK"
"2016","879","GSB"
"2016","878","U78"
"2016","878","RRT"
"2016","877","MJQ"
"2016","875","FOZ"
"2016","874","08D"
"2016","874","EZM"
"2016","874","W99"
"2016","873","AIG"
"2016","872","GKJ"
"2016","871","OZR"
"2016","870","PSK"
"2016","869","SME"
"2016","868","PPO"
"2016","868","RME"
"2016","868","ASJ"
"2016","867","IRS"
"2016","866","OBE"
"2016","865","FFX"
"2016","864","SLH"
"2016","861","4M9"
"2016","859","CIR"
"2016","859","DTL"
"2016","859","BIX"
"2016","858","SUU"
"2016","857","SYR"
"2016","857","20V"
"2016","856","MOX"
"2016","855","DLH"
"2016","854","MMV"
"2016","854","TOB"
"2016","854","PSF"
"2016","851","LXL"
"2016","850","I16"
"2016","849","TYQ"
"2016","849","MGW"
"2016","849","PTB"
"2016","849","LHW"
"2016","848","DMW"
"2016","847","BLF"
"2016","846","ORB"
"2016","845","JOT"
"2016","845","BJI"
"2016","844","MCD"
"2016","843","MWM"
"2016","843","ULM"
"2016","843","ACB"
"2016","843","RZZ"
"2016","843","HZR"
"2016","842","GSH"
"2016","841","LUM"
"2016","839","CVB"
"2016","839","NFE"
"2016","839","MVL"
"2016","838","SUW"
"2016","837","54J"
"2016","835","SFQ"
"2016","834","FSE"
"2016","834","VTP"
"2016","834","TTS"
"2016","833","AGC"
"2016","833","ENL"
"2016","833","BKV"
"2016","832","JAS"
"2016","832","VAD"
"2016","827","MLT"
"2016","826","MGN"
"2016","825","LEB"
"2016","825","HCD"
"2016","824","Y19"
"2016","823","PKB"
"2016","822","RGK"
"2016","820","VJI"
"2016","818","ASW"
"2016","817","DNV"
"2016","817","OMH"
"2016","816","FOA"
"2016","816","JMR"
"2016","816","CKB"
"2016","816","HSB"
"2016","816","MEH"
"2016","815","OLY"
"2016","815","CDH"
"2016","814","7R5"
"2016","813","FXY"
"2016","813","ESF"
"2016","813","XVG"
"2016","812","FNT"
"2016","812","GLY"
"2016","812","1A5"
"2016","811","TBN"
"2016","811","UNU"
"2016","811","GRR"
"2016","811","SKF"
"2016","809","MPO"
"2016","808","VSF"
"2016","808","HYR"
"2016","807","PHN"
"2016","807","RHP"
"2016","806","UAO"
"2016","806","LKU"
"2016","806","GLW"
"2016","806","AZO"
"2016","806","GBG"
"2016","805","MFV"
"2016","804","DIJ"
"2016","804","IZG"
"2016","804","LUK"
"2016","804","D95"
"2016","803","MHS"
"2016","803","PZQ"
"2016","803","HIF"
"2016","803","IXA"
"2016","802","LOT"
"2016","802","GYL"
"2016","802","96D"
"2016","801","DYA"
"2016","800","BMG"
"2016","800","GGP"
"2016","800","VWU"
"2016","799","FKA"
"2016","799","MIB"
"2016","798","AMN"
"2016","798","CKV"
"2016","797","GHW"
"2016","797","HIO"
"2016","797","BYY"
"2016","797","C09"
"2016","797","AJG"
"2016","795","M30"
"2016","795","PQL"
"2016","795","TIW"
"2016","795","Y23"
"2016","793","SGJ"
"2016","793","CUL"
"2016","792","MLU"
"2016","791","MRJ"
"2016","791","BQK"
"2016","791","BIV"
"2016","790","HLX"
"2016","789","HDC"
"2016","789","LBE"
"2016","789","NHZ"
"2016","789","PVC"
"2016","789","79J"
"2016","789","STE"
"2016","788","SLE"
"2016","788","LAN"
"2016","787","DLZ"
"2016","786","DKB"
"2016","786","ELM"
"2016","786","MBS"
"2016","786","CQW"
"2016","784","NBJ"
"2016","784","5W8"
"2016","783","IKW"
"2016","783","JYM"
"2016","783","LFT"
"2016","782","EWN"
"2016","781","BWG"
"2016","781","BRD"
"2016","781","1H2"
"2016","781","6B0"
"2016","781","HLG"
"2016","781","RNH"
"2016","780","RZN"
"2016","779","APN"
"2016","779","CEW"
"2016","779","RST"
"2016","779","CLM"
"2016","778","ARB"
"2016","778","ETB"
"2016","778","DUB"
"2016","777","LBX"
"2016","776","LVN"
"2016","776","TME"
"2016","775","ARR"
"2016","775","IOB"
"2016","775","SZT"
"2016","774","JNX"
"2016","774","BJJ"
"2016","774","LWA"
"2016","774","ISW"
"2016","773","HNR"
"2016","773","HUL"
"2016","772","DLL"
"2016","772","14Y"
"2016","771","5R8"
"2016","771","SVN"
"2016","771","MFI"
"2016","771","WRB"
"2016","770","GWB"
"2016","770","RCR"
"2016","769","RZL"
"2016","769","AKQ"
"2016","769","BAX"
"2016","768","IFA"
"2016","768","0J4"
"2016","768","LTS"
"2016","767","OPF"
"2016","767","AXS"
"2016","767","RMY"
"2016","766","HZE"
"2016","766","DVP"
"2016","766","MSS"
"2016","766","LOZ"
"2016","765","ONA"
"2016","764","FCS"
"2016","764","CWN"
"2016","763","D50"
"2016","763","FFM"
"2016","761","21D"
"2016","761","ARL"
"2016","761","MTV"
"2016","761","PAE"
"2016","759","SLO"
"2016","758","GFL"
"2016","758","PAH"
"2016","756","BPT"
"2016","756","AEX"
"2016","756","PRG"
"2016","755","HAI"
"2016","755","SIF"
"2016","754","XLL"
"2016","753","SGS"
"2016","753","SDF"
"2016","753","MNN"
"2016","751","BBP"
"2016","751","STS"
"2016","751","FWC"
"2016","751","CZK"
"2016","751","IAG"
"2016","751","OWD"
"2016","751","VTA"
"2016","750","CQM"
"2016","750","HTS"
"2016","749","RPJ"
"2016","749","MLD"
"2016","749","ASD"
"2016","749","IER"
"2016","749","EZS"
"2016","749","OCW"
"2016","747","MKG"
"2016","747","PMP"
"2016","747","PWC"
"2016","746","MCB"
"2016","746","SBM"
"2016","746","XMR"
"2016","745","PQN"
"2016","745","MDH"
"2016","744","CFE"
"2016","744","ACK"
"2016","744","AVL"
"2016","743","W29"
"2016","743","AKR"
"2016","743","IKK"
"2016","743","USE"
"2016","742","CJR"
"2016","742","UNI"
"2016","742","JZI"
"2016","742","FFO"
"2016","741","NSE"
"2016","741","OPL"
"2016","741","MZH"
"2016","740","UTA"
"2016","739","TTF"
"2016","739","CFD"
"2016","738","FWN"
"2016","737","MAO"
"2016","737","DXX"
"2016","737","GRK"
"2016","737","CGC"
"2016","737","LGU"
"2016","735","TEW"
"2016","735","SHD"
"2016","734","FYG"
"2016","734","ILN"
"2016","734","NEW"
"2016","734","MOB"
"2016","733","FCM"
"2016","733","RNP"
"2016","733","JKJ"
"2016","732","MNE"
"2016","732","GYB"
"2016","732","3R7"
"2016","731","NCA"
"2016","731","CLI"
"2016","730","AEL"
"2016","730","ALX"
"2016","730","ICL"
"2016","730","CFS"
"2016","730","TKC"
"2016","730","SBD"
"2016","729","UCP"
"2016","729","EDC"
"2016","728","HUM"
"2016","727","LVJ"
"2016","727","D55"
"2016","727","FSI"
"2016","726","PNT"
"2016","726","YNG"
"2016","726","MGC"
"2016","726","C75"
"2016","726","S25"
"2016","725","AOO"
"2016","725","SPW"
"2016","725","OVL"
"2016","724","LWV"
"2016","724","EAU"
"2016","724","AQV"
"2016","723","JXN"
"2016","723","IGX"
"2016","723","OZW"
"2016","722","EUG"
"2016","721","BVS"
"2016","721","TTD"
"2016","721","TSP"
"2016","721","TVL"
"2016","720","ONZ"
"2016","719","CMY"
"2016","719","ASE"
"2016","719","ASX"
"2016","718","VYS"
"2016","718","LNR"
"2016","717","AFF"
"2016","717","HBG"
"2016","717","ALB"
"2016","717","FRI"
"2016","717","PGD"
"2016","716","AUW"
"2016","716","SGR"
"2016","715","D39"
"2016","715","OWB"
"2016","715","DDH"
"2016","715","4A9"
"2016","714","LMO"
"2016","714","LUA"
"2016","713","5SM"
"2016","713","PTK"
"2016","713","JSV"
"2016","713","FEP"
"2016","713","OEO"
"2016","712","FKN"
"2016","712","OSC"
"2016","712","SBN"
"2016","712","IGQ"
"2016","710","MGY"
"2016","710","BTR"
"2016","709","RBG"
"2016","709","GLH"
"2016","709","TAN"
"2016","708","FLD"
"2016","708","VUO"
"2016","708","EDE"
"2016","708","4BM"
"2016","708","LPR"
"2016","707","FQD"
"2016","706","CSV"
"2016","706","FSO"
"2016","706","HZY"
"2016","706","RMN"
"2016","706","GEZ"
"2016","705","FMY"
"2016","705","EVV"
"2016","705","MIE"
"2016","704","AXX"
"2016","704","ILM"
"2016","703","DKK"
"2016","703","GFA"
"2016","703","BLI"
"2016","703","DVL"
"2016","703","TIP"
"2016","702","GAF"
"2016","702","AAF"
"2016","702","WAL"
"2016","702","AXA"
"2016","701","IWI"
"2016","701","MCW"
"2016","701","TVC"
"2016","701","VPS"
"2016","701","COF"
"2016","701","ELD"
"2016","701","RCE"
"2016","700","MVY"
"2016","700","PTS"
"2016","699","AFP"
"2016","699","RYT"
"2016","698","IAB"
"2016","698","9D7"
"2016","698","DWH"
"2016","697","TAZ"
"2016","697","PHD"
"2016","697","RNT"
"2016","697","ASH"
"2016","696","HMM"
"2016","696","3DU"
"2016","696","BDH"
"2016","695","VDF"
"2016","695","OEB"
"2016","695","MSY"
"2016","695","CCY"
"2016","695","EHA"
"2016","694","UXL"
"2016","694","DTW"
"2016","694","FDY"
"2016","693","MOT"
"2016","693","MLE"
"2016","693","RKD"
"2016","692","VTI"
"2016","692","FPR"
"2016","692","ORH"
"2016","692","FWB"
"2016","692","RSN"
"2016","692","LSE"
"2016","691","CAK"
"2016","691","OFF"
"2016","691","ORE"
"2016","691","VES"
"2016","690","ZZV"
"2016","690","CNC"
"2016","690","EFT"
"2016","690","ETC"
"2016","689","BGR"
"2016","689","MTW"
"2016","688","04W"
"2016","688","CRG"
"2016","688","L38"
"2016","687","SGH"
"2016","687","HAO"
"2016","687","VCT"
"2016","687","CQX"
"2016","686","OLZ"
"2016","685","DFI"
"2016","684","BAD"
"2016","684","LVM"
"2016","684","LEX"
"2016","684","GHG"
"2016","683","ORD"
"2016","683","LHB"
"2016","682","GGE"
"2016","682","SEG"
"2016","682","MSN"
"2016","681","NBC"
"2016","681","F46"
"2016","681","TTA"
"2016","680","AFN"
"2016","680","T20"
"2016","679","JSO"
"2016","679","MNI"
"2016","679","AFK"
"2016","679","M19"
"2016","678","MSO"
"2016","678","CON"
"2016","678","SBY"
"2016","677","CGI"
"2016","677","EEO"
"2016","677","VUJ"
"2016","676","CXO"
"2016","676","IPT"
"2016","675","BTL"
"2016","675","LAF"
"2016","675","TLH"
"2016","674","GED"
"2016","674","SAR"
"2016","674","ORF"
"2016","673","TRK"
"2016","673","JYR"
"2016","673","GGI"
"2016","672","UKF"
"2016","672","CRW"
"2016","672","IJX"
"2016","670","SHV"
"2016","670","MQB"
"2016","670","1B7"
"2016","670","OFP"
"2016","670","FEW"
"2016","669","BEA"
"2016","667","DPA"
"2016","667","DEW"
"2016","667","WST"
"2016","666","BUF"
"2016","665","3I2"
"2016","665","FET"
"2016","665","SEA"
"2016","665","PDC"
"2016","665","SLB"
"2016","664","MEB"
"2016","664","TMB"
"2016","664","FAM"
"2016","664","PEO"
"2016","664","DKR"
"2016","663","GRB"
"2016","663","RWI"
"2016","663","I75"
"2016","663","MMT"
"2016","663","LHQ"
"2016","662","BKL"
"2016","662","OSH"
"2016","662","MRN"
"2016","662","BDE"
"2016","661","GPT"
"2016","661","GEG"
"2016","661","HCO"
"2016","660","SPG"
"2016","660","MWK"
"2016","660","TVR"
"2016","659","PSM"
"2016","658","DEH"
"2016","658","PCZ"
"2016","658","OKV"
"2016","657","PHF"
"2016","657","BTV"
"2016","656","CAG"
"2016","656","TDF"
"2016","656","OQN"
"2016","656","LNS"
"2016","656","CKN"
"2016","656","EST"
"2016","655","RYV"
"2016","655","SFY"
"2016","655","NDZ"
"2016","655","DBQ"
"2016","655","LYV"
"2016","655","GPI"
"2016","654","HYX"
"2016","654","BMT"
"2016","654","MWT"
"2016","654","VVV"
"2016","653","RKR"
"2016","653","I69"
"2016","653","SYN"
"2016","652","AVP"
"2016","652","LOU"
"2016","652","GDB"
"2016","651","RYW"
"2016","651","SRQ"
"2016","651","LUX"
"2016","651","HSE"
"2016","650","PDX"
"2016","650","VSH"
"2016","650","LLQ"
"2016","649","YIP"
"2016","649","FFT"
"2016","649","RSW"
"2016","649","MGG"
"2016","649","PNS"
"2016","648","LJF"
"2016","647","FWA"
"2016","647","BWD"
"2016","647","IIB"
"2016","647","CVG"
"2016","647","THV"
"2016","647","AUG"
"2016","646","BQP"
"2016","646","CWV"
"2016","645","7L2"
"2016","645","LXY"
"2016","645","MIA"
"2016","645","ROC"
"2016","644","GVT"
"2016","644","OAJ"
"2016","644","CNB"
"2016","643","RFD"
"2016","643","SHL"
"2016","643","BUU"
"2016","642","LFK"
"2016","642","MSP"
"2016","642","M89"
"2016","642","UNR"
"2016","641","HOT"
"2016","641","ITH"
"2016","641","MRH"
"2016","640","BKB"
"2016","640","HUF"
"2016","640","BVE"
"2016","639","WVL"
"2016","639","MGE"
"2016","639","STP"
"2016","639","IRK"
"2016","638","IND"
"2016","638","AAA"
"2016","638","AQP"
"2016","638","6A1"
"2016","638","AGS"
"2016","637","ABE"
"2016","636","IJD"
"2016","635","BBB"
"2016","635","BTA"
"2016","634","CKP"
"2016","634","AIO"
"2016","634","VRB"
"2016","634","DCM"
"2016","633","D57"
"2016","633","MTO"
"2016","633","SAW"
"2016","633","EVW"
"2016","633","DYS"
"2016","633","AQW"
"2016","633","LRO"
"2016","632","MFD"
"2016","632","VIH"
"2016","631","ECG"
"2016","630","DYT"
"2016","630","FBL"
"2016","630","46D"
"2016","629","PEA"
"2016","628","CLE"
"2016","628","BAZ"
"2016","627","CXY"
"2016","627","0VG"
"2016","627","NBG"
"2016","627","EYF"
"2016","626","MXO"
"2016","626","MDQ"
"2016","625","Y50"
"2016","625","LCQ"
"2016","625","APF"
"2016","625","MIC"
"2016","624","BFM"
"2016","624","MGJ"
"2016","624","BCE"
"2016","624","EBS"
"2016","624","MNZ"
"2016","624","ECP"
"2016","624","PPQ"
"2016","623","BKX"
"2016","623","SET"
"2016","623","OQT"
"2016","622","TXK"
"2016","622","PUW"
"2016","622","EYE"
"2016","622","CTZ"
"2016","622","NQX"
"2016","622","EBG"
"2016","621","GLS"
"2016","621","CMI"
"2016","621","FIT"
"2016","621","T35"
"2016","621","CQF"
"2016","621","DSV"
"2016","621","TDZ"
"2016","620","OXB"
"2016","620","JYG"
"2016","620","NGU"
"2016","619","MDT"
"2016","619","PKD"
"2016","619","NPA"
"2016","618","MLB"
"2016","618","LYH"
"2016","618","BNW"
"2016","617","SLR"
"2016","617","SRR"
"2016","617","PNA"
"2016","616","CCA"
"2016","616","FFA"
"2016","615","CRE"
"2016","615","CMH"
"2016","614","AMG"
"2016","614","HJO"
"2016","614","65S"
"2016","614","UOX"
"2016","613","PCW"
"2016","613","CKI"
"2016","611","MVE"
"2016","611","DAN"
"2016","611","SNC"
"2016","611","LNC"
"2016","610","UTS"
"2016","610","CYS"
"2016","609","PIT"
"2016","609","ALO"
"2016","609","MMU"
"2016","608","SMQ"
"2016","608","NKT"
"2016","607","MML"
"2016","607","PEZ"
"2016","607","UUU"
"2016","607","JAN"
"2016","606","STC"
"2016","606","CPS"
"2016","606","ACY"
"2016","606","GZH"
"2016","606","POF"
"2016","605","LCK"
"2016","605","CHO"
"2016","605","NYC"
"2016","605","PBF"
"2016","604","HKS"
"2016","604","CWI"
"2016","604","SZL"
"2016","604","TRI"
"2016","604","ENW"
"2016","603","EWB"
"2016","603","GCD"
"2016","601","MCO"
"2016","601","BDL"
"2016","601","CIN"
"2016","601","RIC"
"2016","601","AOH"
"2016","600","FMH"
"2016","600","SPI"
"2016","600","PMV"
"2016","600","EOE"
"2016","599","GLE"
"2016","599","TIK"
"2016","599","MIV"
"2016","598","HBI"
"2016","598","RAC"
"2016","598","RFI"
"2016","598","DLF"
"2016","597","CHS"
"2016","597","MIW"
"2016","597","FSD"
"2016","596","BVY"
"2016","596","DVN"
"2016","596","OSU"
"2016","596","ORL"
"2016","596","PIA"
"2016","596","3LF"
"2016","595","DUH"
"2016","595","FLL"
"2016","595","HBV"
"2016","595","DEC"
"2016","595","LBT"
"2016","595","EMP"
"2016","594","ADU"
"2016","594","TYS"
"2016","593","BWI"
"2016","592","PKV"
"2016","591","NUI"
"2016","591","ETH"
"2016","590","PVD"
"2016","590","1YT"
"2016","590","CSQ"
"2016","590","DAW"
"2016","590","CPR"
"2016","589","HJH"
"2016","589","UKI"
"2016","587","GYI"
"2016","587","BOW"
"2016","587","JDD"
"2016","587","UKL"
"2016","587","LCG"
"2016","587","MKE"
"2016","587","FXE"
"2016","587","MQS"
"2016","587","4A6"
"2016","586","UNO"
"2016","586","ONL"
"2016","585","CUB"
"2016","585","DAY"
"2016","585","SAZ"
"2016","585","UGN"
"2016","585","TOP"
"2016","585","GNV"
"2016","585","GIF"
"2016","584","LWC"
"2016","584","PWM"
"2016","584","EOK"
"2016","584","PRO"
"2016","584","HYA"
"2016","583","36U"
"2016","583","2G4"
"2016","583","HWO"
"2016","582","NMM"
"2016","582","HAE"
"2016","582","ATY"
"2016","581","PBG"
"2016","581","INJ"
"2016","581","FAY"
"2016","581","HGR"
"2016","580","HFJ"
"2016","580","VPZ"
"2016","580","F44"
"2016","580","PBI"
"2016","579","OGB"
"2016","579","AHQ"
"2016","579","BUY"
"2016","579","VLL"
"2016","579","DPL"
"2016","579","DSM"
"2016","579","CNO"
"2016","579","EEN"
"2016","579","SQI"
"2016","578","BPK"
"2016","578","DIK"
"2016","577","BNA"
"2016","576","CPC"
"2016","576","AVK"
"2016","576","BHK"
"2016","576","IAH"
"2016","576","MKL"
"2016","575","PYM"
"2016","574","JYO"
"2016","574","HKY"
"2016","574","GFK"
"2016","573","PAT"
"2016","573","FOE"
"2016","573","TMH"
"2016","573","AXN"
"2016","573","RSP"
"2016","573","NTU"
"2016","572","STL"
"2016","572","EET"
"2016","572","GDP"
"2016","571","PIE"
"2016","571","EXX"
"2016","571","MQI"
"2016","571","CBF"
"2016","571","TQE"
"2016","570","DTN"
"2016","570","OKH"
"2016","570","MEM"
"2016","569","LHZ"
"2016","569","GWO"
"2016","569","ANW"
"2016","569","BYG"
"2016","569","SUX"
"2016","568","ALI"
"2016","568","BIE"
"2016","567","FLO"
"2016","566","NJM"
"2016","566","SAA"
"2016","565","RDG"
"2016","565","RDK"
"2016","565","VAY"
"2016","565","SEZ"
"2016","565","RWF"
"2016","565","FOK"
"2016","565","HDE"
"2016","564","WYS"
"2016","564","LIT"
"2016","564","LXN"
"2016","563","MLI"
"2016","563","SUT"
"2016","563","DWX"
"2016","563","HRO"
"2016","562","UNV"
"2016","562","DXR"
"2016","562","CID"
"2016","562","FBR"
"2016","562","AUH"
"2016","562","BFI"
"2016","561","EUF"
"2016","561","RUQ"
"2016","561","OWP"
"2016","561","DNL"
"2016","560","OOA"
"2016","560","RNM"
"2016","560","BVN"
"2016","560","MNH"
"2016","559","MKY"
"2016","559","MRB"
"2016","559","BAF"
"2016","559","AMW"
"2016","559","NFG"
"2016","559","COU"
"2016","558","HRJ"
"2016","558","RAS"
"2016","558","DET"
"2016","557","ADG"
"2016","557","ROG"
"2016","557","IBM"
"2016","557","LWT"
"2016","556","MEI"
"2016","556","ILG"
"2016","556","BMI"
"2016","556","MTH"
"2016","556","EYW"
"2016","556","8A0"
"2016","555","PUJ"
"2016","555","TCL"
"2016","555","STJ"
"2016","554","IXD"
"2016","554","PTW"
"2016","554","CLL"
"2016","553","TOI"
"2016","553","GVL"
"2016","553","RCZ"
"2016","553","BDR"
"2016","553","SSF"
"2016","553","PWK"
"2016","553","PHL"
"2016","552","TOL"
"2016","552","SLC"
"2016","552","JMS"
"2016","552","AJZ"
"2016","552","E33"
"2016","551","PTN"
"2016","550","DCA"
"2016","550","SAV"
"2016","550","HRX"
"2016","550","ORC"
"2016","549","VLD"
"2016","549","MGM"
"2016","548","GSO"
"2016","548","TEB"
"2016","548","4I3"
"2016","548","CRS"
"2016","548","NUW"
"2016","547","BIS"
"2016","547","GON"
"2016","547","04V"
"2016","547","ISN"
"2016","546","3HT"
"2016","546","BKE"
"2016","545","SVH"
"2016","545","SMS"
"2016","545","UIN"
"2016","545","LZZ"
"2016","544","SUS"
"2016","544","LOR"
"2016","544","LDJ"
"2016","543","ERV"
"2016","543","BDU"
"2016","543","MCI"
"2016","543","OXV"
"2016","542","MMK"
"2016","542","XBP"
"2016","542","01M"
"2016","541","FAR"
"2016","540","FLG"
"2016","540","RBW"
"2016","540","LAR"
"2016","539","SFB"
"2016","539","INT"
"2016","539","GMJ"
"2016","538","NYG"
"2016","538","MDW"
"2016","538","SEE"
"2016","538","GDJ"
"2016","537","OFK"
"2016","537","LWM"
"2016","537","HUA"
"2016","537","EMM"
"2016","536","TTN"
"2016","536","DTS"
"2016","536","PRN"
"2016","536","HNZ"
"2016","535","SPA"
"2016","535","ABR"
"2016","535","RDD"
"2016","535","MBL"
"2016","535","HTO"
"2016","535","SSI"
"2016","534","PTT"
"2016","534","TIF"
"2016","534","1M4"
"2016","533","PPF"
"2016","533","FYV"
"2016","533","SDB"
"2016","533","ODX"
"2016","532","0F2"
"2016","532","RUG"
"2016","532","PVJ"
"2016","532","MQY"
"2016","532","DHN"
"2016","531","AYS"
"2016","531","ATT"
"2016","531","EZF"
"2016","530","S14"
"2016","530","PNE"
"2016","530","FHU"
"2016","530","1F0"
"2016","529","ADM"
"2016","529","EAT"
"2016","528","PIL"
"2016","528","AUS"
"2016","528","IMM"
"2016","528","DNS"
"2016","528","ROA"
"2016","527","GOP"
"2016","527","DRO"
"2016","527","FWS"
"2016","526","SGF"
"2016","526","CUT"
"2016","526","END"
"2016","526","T43"
"2016","526","PSX"
"2016","525","DVK"
"2016","525","EKQ"
"2016","525","CRP"
"2016","525","BHB"
"2016","524","OGD"
"2016","524","TRL"
"2016","524","IPJ"
"2016","524","LRJ"
"2016","523","SUA"
"2016","523","UVA"
"2016","523","CWA"
"2016","522","MBG"
"2016","522","BPI"
"2016","522","AHN"
"2016","522","OMK"
"2016","522","CNU"
"2016","521","HOU"
"2016","521","AUD"
"2016","521","GGW"
"2016","519","SHC"
"2016","519","SGE"
"2016","519","XSA"
"2016","517","BTM"
"2016","516","FDK"
"2016","516","IAD"
"2016","516","HFD"
"2016","516","BED"
"2016","516","OMA"
"2016","516","RXE"
"2016","515","SFF"
"2016","515","RKS"
"2016","515","PSN"
"2016","515","IDV"
"2016","514","DCU"
"2016","514","ABY"
"2016","514","MCC"
"2016","514","Y22"
"2016","514","UZA"
"2016","514","HSV"
"2016","514","BPP"
"2016","513","OJC"
"2016","513","LND"
"2016","513","BMQ"
"2016","513","CDW"
"2016","511","POU"
"2016","510","KLS"
"2016","510","NSI"
"2016","510","ISP"
"2016","510","DAB"
"2016","509","T82"
"2016","509","ICR"
"2016","509","GPZ"
"2016","509","SNK"
"2016","509","HNB"
"2016","508","CAE"
"2016","508","RMG"
"2016","508","BRL"
"2016","507","SDA"
"2016","506","RDU"
"2016","506","RAP"
"2016","506","GAD"
"2016","506","JBR"
"2016","505","BOS"
"2016","505","BYI"
"2016","504","OLF"
"2016","504","TZR"
